Node_Label,Node_X,Node_Y,Node_Z
37214631,828232.8799999999,839610.25,20.489999999999995
37214632,828233.8799999999,839610.25,20.200001
37214633,828234.8799999999,839610.25,20.040001000000004
37214634,828235.8799999999,839610.25,19.739999999999995
37214635,828236.8799999999,839610.25,19.700001
37214636,828237.8799999999,839610.25,19.700001
37214637,828238.8799999999,839610.25,19.629998999999998
37214638,828239.8799999999,839610.25,19.599999999999994
37214639,828240.8799999999,839610.25,19.61000100000001
37214640,828241.8799999999,839610.25,19.36000100000001
37214641,828242.8799999999,839610.25,19.120001000000002
37214642,828243.8799999999,839610.25,18.870001000000002
37214643,828244.8799999999,839610.25,18.629998999999998
37214644,828245.8799999999,839610.25,18.38999899999999
37214645,828246.8799999999,839610.25,18.38999899999999
37214646,828247.8799999999,839610.25,18.38999899999999
37214647,828248.8799999999,839610.25,18.379998999999998
37214648,828249.8799999999,839610.25,18.299999
37214649,828250.8799999999,839610.25,18.239999999999995
37214650,828251.8799999999,839610.25,18.299999
37214651,828252.8799999999,839610.25,18.17
37214652,828253.8799999999,839610.25,17.940000999999995
37214653,828254.8799999999,839610.25,17.700001
37214654,828255.8799999999,839610.25,17.590000000000003
37214655,828256.8799999999,839610.25,17.13999899999999
37214656,828257.8799999999,839610.25,16.940000999999995
37214657,828258.8799999999,839610.25,16.739999999999995
37214658,828259.8799999999,839610.25,16.319999999999993
37214659,828260.8799999999,839610.25,15.920000000000002
37214660,828261.8799999999,839610.25,16
37214661,828262.8799999999,839610.25,16.010000000000005
37214662,828263.8799999999,839610.25,15.96
37214663,828264.8799999999,839610.25,15.909999999999997
37214664,828265.8799999999,839610.25,15.75
37214665,828266.8799999999,839610.25,15.670000000000002
37214666,828267.8799999999,839610.25,15.430000000000007
37214667,828268.8799999999,839610.25,14.489999999999995
37214668,828269.8799999999,839610.25,13.54
37214669,828270.8799999999,839610.25,12.599999999999994
37214670,828271.8799999999,839610.25,11.650000000000006
37214671,828272.8799999999,839610.25,11.22999999999999
37214672,828273.8799999999,839610.25,11.060000000000002
37214673,828274.8799999999,839610.25,11.030000000000001
37214674,828275.8799999999,839610.25,11
37214675,828276.8799999999,839610.25,11.02000000000001
37214676,828277.8799999999,839610.25,10.96
37214677,828278.8799999999,839610.25,10.920000000000002
37214678,828279.8799999999,839610.25,10.579999999999998
37214679,828280.8799999999,839610.25,10.310000000000002
37214680,828281.8799999999,839610.25,10.409999999999997
37214681,828282.8799999999,839610.25,9.979999499999998
37214682,828283.8799999999,839610.25,9.840000199999999
37214683,828284.8799999999,839610.25,9.8800001
37214684,828285.8799999999,839610.25,9.8699999
37214685,828286.8799999999,839610.25,9.4899998
37214686,828287.8799999999,839610.25,9.1700001
37214687,828288.8799999999,839610.25,9.159999800000001
37214688,828289.8799999999,839610.25,9.1400003
37214689,828290.8799999999,839610.25,9.1300001
37214690,828291.8799999999,839610.25,9.1300001
37214691,828292.8799999999,839610.25,9.0500002
37214692,828293.8799999999,839610.25,8.970000300000002
37214693,828294.8799999999,839610.25,9
37214694,828295.8799999999,839610.25,9
37214695,828296.8799999999,839610.25,9.0600004
37214696,828297.8799999999,839610.25,9.0799999
37214697,828298.8799999999,839610.25,8.9300003
37214698,828299.8799999999,839610.25,8.729999499999998
37214699,828300.8799999999,839610.25,8.5799999
37214700,828301.8799999999,839610.25,8.529999699999998
37214701,828302.8799999999,839610.25,8.46
37214702,828303.8799999999,839610.25,8.3800001
37214703,828304.8799999999,839610.25,8.25
37214704,828305.8799999999,839610.25,8.1999998
37214705,828306.8799999999,839610.25,8.1000004
37214706,828307.8799999999,839610.25,8.0600004
37214707,828308.8799999999,839610.25,7.9899998
37214708,828309.8799999999,839610.25,7.9499998
37214709,828310.8799999999,839610.25,7.889999899999999
37214710,828311.8799999999,839610.25,7.809999900000001
37214711,828312.8799999999,839610.25,7.679999800000001
37214712,828313.8799999999,839610.25,7.389999899999999
37214713,828314.8799999999,839610.25,7.059999900000001
37214714,828315.8799999999,839610.25,6.73
37214715,828316.8799999999,839610.25,6.309999900000001
37214716,828317.8799999999,839610.25,6.0300002
37214717,828318.8799999999,839610.25,5.9699998
37214718,828319.8799999999,839610.25,5.9000001
37214719,828320.8799999999,839610.25,5.909999800000001
37214720,828321.8799999999,839610.25,5.820000199999999
37214721,828322.8799999999,839610.25,5.920000099999999
37214722,828323.8799999999,839610.25,5.829999900000001
37214723,828324.8799999999,839610.25,5.77
37214724,828325.8799999999,839610.25,5.909999800000001
37214725,828326.8799999999,839610.25,5.940000099999999
37214726,828327.8799999999,839610.25,5.909999800000001
37214727,828328.8799999999,839610.25,5.9000001
37214728,828329.8799999999,839610.25,5.929999800000001
37214729,828330.8799999999,839610.25,5.8699999
37214730,828331.8799999999,839610.25,5.829999900000001
37214731,828332.8799999999,839610.25,5.7399998
37214732,828333.8799999999,839610.25,5.929999800000001
37214733,828334.8799999999,839610.25,5.909999800000001
37214734,828335.8799999999,839610.25,5.75
37214735,828336.8799999999,839610.25,5.52
37214736,828337.8799999999,839610.25,5.4499998
37214737,828338.8799999999,839610.25,5.429999800000001
37214738,828339.8799999999,839610.25,5.559999900000001
37214739,828340.8799999999,839610.25,5.75
37214740,828341.8799999999,839610.25,5.8499999
37214741,828342.8799999999,839610.25,5.9000001
37214742,828343.8799999999,839610.25,5.940000099999999
37214743,828344.8799999999,839610.25,5.9000001
37214744,828345.8799999999,839610.25,5.8499999
37214745,828346.8799999999,839610.25,5.929999800000001
37214746,828347.8799999999,839610.25,6.02
37214747,828348.8799999999,839610.25,6.090000199999999
37214748,828349.8799999999,839610.25,6.170000099999999
37214749,828350.8799999999,839610.25,6.210000000000001
37214750,828351.8799999999,839610.25,6.25
37214751,828352.8799999999,839610.25,6.4699998
37214752,828353.8799999999,839610.25,6.590000199999999
37214753,828354.8799999999,839610.25,6.8499999
37214754,828355.8799999999,839610.25,7.1300001
37214755,828356.8799999999,839610.25,7.4000001
37214756,828357.8799999999,839610.25,7.679999800000001
37214757,828358.8799999999,839610.25,8.0500002
37214758,828359.8799999999,839610.25,8.3500004
37214759,828360.8799999999,839610.25,8.5500002
37214760,828361.8799999999,839610.25,8.529999699999998
37214761,828232.8799999999,839611.25,20.489999999999995
37214762,828233.8799999999,839611.25,20.33
37214763,828234.8799999999,839611.25,20.33
37214764,828235.8799999999,839611.25,19.959998999999996
37214765,828236.8799999999,839611.25,19.840000000000003
37214766,828237.8799999999,839611.25,19.760000000000005
37214767,828238.8799999999,839611.25,19.709998999999996
37214768,828239.8799999999,839611.25,19.719999
